Species,Catalog_num,SVL,Head.width,extant
Amphiuma_tridactylum,MCZ A-4079,546,31.29,1
Amphiuma_tridactylum,MCZ A-144,341.36,19.41,1
Amphiuma_tridactylum,MCZ A-272,611.17,39.07,1
Amphiuma_means,MCZ A-99850,335.6,16.88,1
Amphiuma_means,MCZ A-99849,380,15.64,1
Amphiuma_means,MCZ A-16299,288,15.35,1
Amphiuma_means,MCZ A-9470,307.2,12.69,1
Siren_lacertina,MCZ A-1445,430,40.93,1
Siren_lacertina,MCZ A-120184,439,40.33,1
Siren_lacertina,MCZ A-1741,405,30.85,1
Pseudobranchus_striatus,MCZ A-5916,86.17,5.06,1
Pseudobranchus_striatus,MCZ A-107678,77.1,5.07,1
Pseudobranchus_striatus,MCZ A- 33930,94.32,5.29,1
Salamandrina_terdigitata,MCZ A-1948,29.44,6.02,1
Salamandrina_terdigitata,MCZ A-115367,32.06,6.09,1
Salamandrina_terdigitata,MCZ A-115368,32.48,6.24,1
Neurergus_crocatus,MCZ A-24182,66.95,15.76,1
Neurergus_crocatus,MCZ A-99110,63.54,13.57,1
Neurergus_crocatus,MCZ A-28278,54.95,10.73,1
Chioglossa_lusitanica,MCZ A-1925,35.5,5.79,1
Chioglossa_lusitanica,MCZ A-8068,39.42,6.03,1
Chioglossa_lusitanica,MCZ A-8066,44.48,6.3,1
Chioglossa_lusitanica,MCZ A-8063,32.57,5.49,1
Chioglossa_lusitanica,MCZ A-8065,34.62,5.33,1
Chioglossa_lusitanica,MCZ A-7908,37.97,5.43,1
Chioglossa_lusitanica,MCZ A-8067,32.56,5.56,1
Euprotucs_platycephalus,MCZ A-2167,51.25,8.89,1
Euprotucs_platycephalus,MCZ A-99107,48.62,8.36,1
Euproctus_asper,MCZ A-111783,68.8,13.18,1
Euproctus_asper,MCZ A-111784,71.98,12.26,1
Euproctus_asper,MCZ A-111785,70.8,14.52,1
Euproctus_asper,MCZ A-111786,69.59,12.15,1
Proteus_anguineus,MCZ A-3973,140.03,13.56,1
Necturus_punctatus,MCZ A-1553,94.1,13.01,1
Necturus_punctatus,MCZ A-119510,85.64,11.72,1
Necturus_punctatus,MCZ A-5877,105.48,15.67,1
Necturus_maculosus,MCZ A-99038,159.77,29.75,1
Necturus_maculosus,MCZ A-99039,149.76,27.74,1
Necturus_maculosus,MCZ A-1849,253.49,46.92,1
Necturus_maculosus,MCZ A-125144,230.03,43.86,1
Necturus_beyeri,MCZ A-30421,120.81,22.5,1
Necturus_beyeri,MCZ A-17733,136.55,24.59,1
Necturus_beyeri,MCZ A-17732,122.76,21.28,1
Liua_wushanensis,MCZ A-101041,86.93,17.16,1
Salamandrella_keyserlingii,MCZ A_15430,58.46,9.04,1
Salamandrella_keyserlingii,MCZ A-15433,53.25,8.27,1
Batrachuperus_tibetanus,MCZ A-101039,84.18,16.29,1
Batrachuperus_tibetanus,MCZ A-101040,70.66,13.58,1
Batrachuperus_tibetanus,MCZ A-17426,76.14,13.97,1
Hynobius_boulengeri,MCZ A-22501,66.42,10.44,1
Hynobius_boulengeri,MCZ A-22502,66.12,12.77,1
Hynobius_leechi,MCZ A-8963,45.5,7.69,1
Hynobius_leechi,MCZ A-8962,42.67,7.74,1
Hynobius_naevius,MCZ A-7365,72.52,11.17,1
Hynobius_naevius,MCZ A-22506,57.66,10.49,1
Pseudoeurycea_lineolus,MCZ A-24751,38.55,3.69,1
Pseudoeurycea_lineolus,MCZ A-24752,37.37,3.54,1
Pseudoeurycea_lineolus,MCZ A-8381,33.14,3.82,1
Karsenia_koreana,MCZ A-136691,40.1,6.48,1
Plethodon_petraeus,MCZ A_117980,75.24,12.46,1
Plethodon_petraeus,MCZ A_117981,64.24,9.97,1
Plethodon_petraeus,MCZ A_117982,73.98,11.83,1
Cryptobranchus_alleganiensis,,NA,NA,1
Andrias_davidianus,,NA,NA,1
Andrias_japonicus,,NA,NA,1
Onychodactylus_japonicus,,10.21,78.03,1
Onychodactylus_japonicus,,8.12,63.61,1
Onychodactylus_japonicus,,9.2,71.72,1
Onychodactylus_japonicus,,8.36,64.78,1
Ranodon_sibiricus,,14.21,75.83,1
Ranodon_sibiricus,,18.33,98.54,1
Ranodon_sibiricus,,15.01,75.49,1
Batrachuperus_pinchonii,,12.95,74.6,1
Batrachuperus_pinchonii,,13.86,70.84,1
Batrachuperus_pinchonii,,11.29,73.7,1
Batrachuperus_pinchonii,,11.71,77.05,1
Batrachuperus_pinchonii,,10.89,78.73,1
Hynobius_lichenatus,,9.55,52.58,1
Hynobius_lichenatus,,10.54,64.49,1
Hynobius_lichenatus,,10.2,57.76,1
Hynobius_lichenatus,,9.97,57.5,1
Hynobius_lichenatus,,10.94,65.4,1
Hynobius_nigrescens,,12.37,72.46,1
Hynobius_nigrescens,,13.26,74.77,1
Hynobius_nigrescens,,13.84,72.96,1
Hynobius_nigrescens,,13.58,75.07,1
Hynobius_nigrescens,,12.46,66.61,1
Dicamptodon_ensatus,,20.08,111.35,1
Dicamptodon_ensatus,,20.37,114.14,1
Dicamptodon_ensatus,,18.11,99.55,1
Dicamptodon_ensatus,,21.84,115.82,1
Dicamptodon_ensatus,,21.58,123.65,1
Dicamptodon_copei,,13.34,80.43,1
Dicamptodon_copei,,12.64,88.56,1
Dicamptodon_copei,,12.47,79.91,1
Dicamptodon_copei,,12.42,76.73,1
Dicamptodon_copei,,13.91,85.95,1
Ambystoma_talpoideum,,12.2,59.34,1
Ambystoma_talpoideum,,12.4,58.48,1
Ambystoma_talpoideum,,13.01,61.1,1
Ambystoma_talpoideum,,13.2,53.24,1
Ambystoma_talpoideum,,11.33,53.12,1
Ambystoma_gracile,,19.26,94,1
Ambystoma_gracile,,21.19,104.7,1
Ambystoma_gracile,,18.82,93.71,1
Ambystoma_gracile,,18.6,87.03,1
Ambystoma_gracile,,20.43,101.37,1
Ambystoma_opacum,,8.38,44.1,1
Ambystoma_opacum,,9.86,60.72,1
Ambystoma_opacum,,10.5,56.49,1
Ambystoma_opacum,,10.14,61.62,1
Ambystoma_opacum,,9.46,56.17,1
Ambystoma_cingulatum,,7.16,61.07,1
Ambystoma_cingulatum,,7.3,57.05,1
Ambystoma_cingulatum,,7.99,63.24,1
Ambystoma_cingulatum,,7.57,64.48,1
Ambystoma_cingulatum,,7.5,59.62,1
Ambystoma_maculatum,,17.15,106.65,1
Ambystoma_maculatum,,14.34,87.59,1
Ambystoma_maculatum,,14.58,90.35,1
Ambystoma_maculatum,,16.37,108.93,1
Ambystoma_maculatum,,14.66,89.5,1
Ambystoma_jeffersonianum,,12.39,91.45,1
Ambystoma_jeffersonianum,,13.24,87.46,1
Ambystoma_jeffersonianum,,12.79,90.19,1
Ambystoma_jeffersonianum,,12.62,82.45,1
Ambystoma_jeffersonianum,,13.04,82.56,1
Ambystoma_laterale,,7.02,44.69,1
Ambystoma_laterale,,6,40.35,1
Ambystoma_laterale,,9.66,62.92,1
Ambystoma_laterale,,5.49,33.59,1
Ambystoma_laterale,,7.44,55.75,1
Ambystoma_mabeei,,8.49,59.97,1
Ambystoma_mabeei,,8.71,65.2,1
Ambystoma_mabeei,,8.44,62.04,1
Ambystoma_mabeei,,8.05,58.43,1
Ambystoma_mabeei,,8.04,62.74,1
Ambystoma_texanum,,9.78,81.8,1
Ambystoma_texanum,,8,70.03,1
Ambystoma_texanum,,9.76,89.88,1
