species,svl
Anolis_ahli,4.039125443
Anolis_allogus,4.040138442
Anolis_rubribarbus,4.078469213
Anolis_imias,4.099687407
Anolis_sagrei,4.067161768
Anolis_bremeri,4.113370744
Anolis_quadriocellifer,3.901619072
Anolis_ophiolepis,3.637962029
Anolis_mestrei,3.987147344
Anolis_jubar,3.952604971
Anolis_homolechis,4.032805981
Anolis_confusus,3.938442349
Anolis_guafe,3.87745744
Anolis_garmani,4.769473237
Anolis_opalinus,3.838376465
Anolis_grahami,4.154274265
Anolis_valencienni,4.321524401
Anolis_lineatopus,4.128611788
Anolis_evermanni,4.165605231
Anolis_stratulus,3.869880695
Anolis_krugi,3.886500048
Anolis_pulchellus,3.799022266
Anolis_gundlachi,4.18810472
Anolis_poncensis,3.820377531
Anolis_cooki,4.091535064
Anolis_cristatellus,4.189820018
Anolis_brevirostris,3.874154977
Anolis_caudalis,3.911742966
Anolis_marron,3.831810283
Anolis_websteri,3.916546094
Anolis_distichus,3.928795837
Anolis_alumina,3.588940722
Anolis_semilineatus,3.696630586
Anolis_olssoni,3.79389884
Anolis_insolitus,3.80047052
Anolis_whitemani,4.097478535
Anolis_haetianus,4.316542212
Anolis_breslini,4.051110808
Anolis_armouri,4.121684075
Anolis_cybotes,4.210982161
Anolis_shrevei,3.983003234
Anolis_longitibialis,4.242103429
Anolis_strahmi,4.274271278
Anolis_marcanoi,4.079484699
Anolis_baleatus,5.05305601
Anolis_barahonae,5.076957937
Anolis_ricordii,5.013963084
Anolis_cuvieri,4.875011919
Anolis_altitudinalis,3.842994419
Anolis_oporinus,3.845669505
Anolis_isolepis,3.657087744
Anolis_allisoni,4.375390078
Anolis_porcatus,4.258990989
Anolis_loysiana,3.701240244
Anolis_guazuma,3.76388385
Anolis_placidus,3.773967107
Anolis_sheplani,3.682924257
Anolis_alayoni,3.815704818
Anolis_angusticeps,3.788595498
Anolis_paternus,3.802961204
Anolis_alutaceus,3.554890814
Anolis_inexpectatus,3.537438641
Anolis_clivicola,3.758726128
Anolis_cupeyalensis,3.462013706
Anolis_cyanopleurus,3.630161001
Anolis_alfaroi,3.526654599
Anolis_macilentus,3.715764783
Anolis_vanidicus,3.62620586
Anolis_baracoae,5.042779747
Anolis_noblei,5.083472618
Anolis_smallwoodi,5.035095592
Anolis_luteogularis,5.101085197
Anolis_equestris,5.113993807
Anolis_bahorucoensis,3.827445029
Anolis_dolichocephalus,3.908550316
Anolis_hendersoni,3.859834574
Anolis_darlingtoni,4.302036009
Anolis_aliniger,4.036556538
Anolis_singularis,4.057997494
Anolis_chlorocyanus,4.275448057
Anolis_coelestinus,4.297965447
Anolis_occultus,3.663048694
