day,wt,time,bf,calories_in,calories_out,exercise,dotw
1,291.9,pm,37,1500,2709,,F
2,,,,4040,4235,,S
3,,,,4255,4948,,Su
4,,,,2813,5363,,M
5,,,,4330,4609,,T
6,,,,4145,4598,,W
7,,,,5373,4932,,R
8,,,,4208,4683,,F
9,,,,3569,4131,,S
10,,,,2798,3830,,Su
11,294.8,pm,36.6,2735,4673,,M
12,288.1,am,35,0,,,T
12,295.5,pm,36.1,2651,4185,,T
13,286.4,am,34.6,0,,,W
13,294.5,pm,36,3385,3995,1,W
14,286.8,am,34.6,0,,,R
14,292.8,pm,35.5,1641,4145,1,R
15,285.1,am,34.4,0,,,F
15,296.7,pm,,3692,4387,0,F
16,285.4,am,34.4,0,,,S
16,293.4,pm,35.9,2818,3744,1,S
17,284.6,am,34.3,0,,,Su
17,293,pm,35.7,3798,4337,1,Su
18,282.9,am,34.3,0,,,M
18,294.1,pm,36,3095,4250,1,M
19,284.2,am,34.3,0,,,T
19,291.7,pm,35.5,2588,4123,1,T
20,284.4,am,34.2,0,,,W
20,293.2,pm,35.7,2622,4343,1,W
21,284,am,34.2,0,,,R
21,291.7,pm,35.4,2212,4536,0,R
22,282.4,am,33.2,0,,,F
22,289.9,pm,35.1,2865,4371,1,F
23,282.9,am,33.2,0,,,S
23,289,pm,34.9,3131,3458,0,S
24,282.4,am,34,0,,,Su
24,289.5,pm,35.1,3677,3402,1,Su
